CUSTOMERS,AIRLINES,,,,,ISSUE 24JAM,HOTEL,TRAIN / BUS / TRAVEL,RENT CAR,REISSUE FEE,MATERAI,TAKEOVER PAYMENT,INSURANCE,NOTE,
,INTERNASIONAL,DOMESTIC,,,,,,,,,,,,,
,,GARUDA,"OTHER AIRLINES (LION, SJ, CITILINK)","LCC (AIR ASIA, PELITA AIR, TRANSNUSA, SCOOT)","PERINTIS AIRLINE (TRIGANA, SUSI AIR, EXPRESS AIR)",,,,,,,,,,
AGUNG AUTO MALL,UP 3% (FROM TOTAL - MARKUP) GA & NON GA,UP 3% FROM BASIC (MARK UP),ON THE TICKET DOMESTIK,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",,MARKUP,"UP 30,000 (MARKUP)",MARKUP,MARKUP,STAMP DUTY,,,,
,,,,,,-,-,,,,,,,,
AEON CREDIT SERVICE INDONESIA,UP 3% (FROM TOTAL - SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET DOMESTIK,"UP 30,000 PER TIKET (SERVICE FEE) ","UP 30,000 PER TIKET (SERVICE FEE)",-,"DOMESTIK : 20,000/R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : UP 50,000/DAY (SF)","UP 50,000 (SERVICE FEE)",,,,,
,,,,,,,"INTERNATIONAL : 50,000/R/N (SERVICE FEE)",,"INTERNATIONAL : UP 50,000/DAY (SF)","UP 75,000 (SERVICE FEE)",,,,,
ASASTA SEJAHTERA PERSADA,UP 5% (FROM TOTAL - SERVICE FEE),UP 2% (SERVICE FEE) DOMESTIC,UP 2% (SERVICE FEE) DOMESTIC,UP 2% (SERVICE FEE) DOMESTIC,UP 2% (SERVICE FEE) DOMESTIC,-,"DOMESTIC : UP 50,000 /R/N (SERVICE FEE) ","UP 40,000/TIKET (SERVICE FEE)","DOMESTIC : UP 75,000/DAY","DOMESTIC : 50,000/TIKET (SERVICE FEE)",YES (STAMP DUTY),,,,
,,UP 5% (SERVICE FEE) INTERNATIONAL,UP 5% (SERVICE FEE) INTERNATIONAL,UP 5% (SERVICE FEE) INTERNATIONAL,UP 5% (SERVICE FEE) INTERNATIONAL,-,"INTERNATIONAL : 100,000 /R/N (SERVICE FEE)",,"INTERNATIONAL : UP 150,000/DAY","INTERNATIONAL : 75,000/TIKET(SERVICE FEE)",,,,,
AUTO2000,UP 3% (FROM TOTAL - SERVICE FEE),UP 1% (SERVICE FEE) DOMESTIC,UP 1% (SERVICE FEE) DOMESTIC,UP 1% (SERVICE FEE) DOMESTIC,UP 1% (SERVICE FEE) DOMESTIC,,"DOMESTIC : UP 30,000 /R/N (SERVICE FEE) ","DOMESTIC : UP 25,000 /TIKET (SERVICE FEE)","DOMESTIC : 50,000/DAY (SERVICE FEE)","DOMESTIC : 35,000/TIKET (SERVICE FEE)",YES (STAMP DUTY),,,,
,,,,,,,"INTERNATIONAL : 75,000 /R/N (SERVICE FEE)","INTERNATIONAL : UP 75,000/TIKET (SERVICE FEE)","INTL : 100,000/DAY (SERVICE FEE)","INTERNATIONAL : 50,000/TIKET(SERVICE FEE)",,,,,
ADIMAS,UP 4% (FROM TOTAL - MARKUP),UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 PER TIKET",MARKUP,MARKUP,-,,,,
ASTRA DAIHATSU MOTOR,UP 3%FROM TOTAL (SERVICE FEE) ,"UP 1,5% FROM TOTAL (SERVICE FEE)","UP 1,5% FROM TOTAL (SERVICE FEE)","UP 40,000 PER TIKET (SERVICE FEE)","UP 40,000 PER TIKET (SERVICE FEE)",-,"DOMESTIC : UP 40,000 /R/N (SERVICE FEE) ","UP 30,000 PER TIKET (SERVICE FEE)","DOMESTIC : 100,000/DAY (SERVICE FEE)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",NO,,,,
,,,,"UP 75,000 PER TIKET (SERVICE FEE INTL)","UP 75,000 PER TIKET (SERVICE FEE INTL)",,"INTERNATIONAL : 75,000 /R/N (SERVICE FEE)",,"INTL : 150,000/DAY (SERVICE FEE)","INTERNATIONAL : 75,000/TIKET(SERVICE FEE)",,,,INVOICE DIBUAT PERNAMA,
ASTRA DIGITAL MOBIL,UP 2% (FROM TOTAL - SERVICE FEE),UP 1% FROM TOTAL (SERVICE FEE),ON THE TICKET,"UP 30,000 PER TIKET (SERVICE FEE)","UP 30,000 PER WAY (SERVICE FEE)",-,"DOMESTIC : 20,000/R/N (SERVICE FEE)","UP 30,000 (SERVICE FEE)","DOMESTIC : 50,000/DAY (SERVICE FEE)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",YES (STAMP DUTY),,,,
,,,,,,,"INTERNATIONAL : 50,000 (SERVICE FEE)",,"INTERNATIONAL : 100,000/DAY (SERVICE FEE)","INTERNATIONAL : 200,000/TIKET(SERVICE FEE)",,,,,
ASTRA AGRO LESTARI,UP 3% (FROM TOTAL - MARKUP) ,UP 1% FROM TOTAL (MARK UP),ON THE TICKET,"UP 30,000 PER TIKET (MARK UP)","UP 30,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)","DOMESTIC : 50,000/DAY (MARKUP)",MARKUP,YES (STAMP DUTY),5%,,,
,,,,,,-,,,"INTERNATIONAL  : 100,000/DAY (MARKUP)",,,,,,
AGRONUSA / DARMA MUTIARA,UP 3% FROM TOTAL (SERVICE FEE GA DITONGOLIN),UP 1% FROM TOTAL (SERVICE FEE GA DITONGOLIN),ON THE TICKET,"UP 50,000 PER TIKET (SERVICE FEE GA DITONGOLIN)","UP 50,000 PER TIKET (SERVICE FEE GA DITONGOLIN)",-,"DOMESTIC : 40,000 (SERVICE FEE GA DITONGOLIN)","UP 30,000 (SERVICE FEE GA DITONGOLIN)","DOMESTIC : UP 50,000/DAY (SERVICE FEE GA DITONGOLIN)","DOMESTIC : 50,000/TIKET (SERVICE FEE)",NO,,,,
,,,,,,,"INTL : 75,000 (SERVICE FEE GA DITONGOLIN)",,"INTERNATIONAL : UP 100,000/DAY (SERVICE FEE GA DITONGOLIN)","INTL : 75,000/TIKET (SERVICE FEE)",,,,,
"AGUNG GROUP (AGUNG RENT, AGUNG SOLUSI)",UP 4% FROM TOTAL (MARKUP),UP 2% FROM TOTAL (MARKUP),ON THE TICKET,"UP 30,000 PER TIKET (MARK UP)","UP 30,000 PER TIKET (MARK UP)",-,"DOMESTIC : UP 20,000 (MARKUP)","UP 30,000 (MARKUP)","DOMESTIC : UP 50,000/DAY","DOMESTIC : 50,000/TIKET (MARKUP)",STAMP DUTY,,,,
,,,,,,,"INTL : UP 50,000 (MARKUP)",,"INTERNATIONAL : UP 100,000/DAY","INTL : 75,000/TIKET (MARKUP)",,,,,
ANSARI,UP 4%,UP 2% FROM TOTAL (MARK UP),ON THE TICKET,"UP 50,000 PER TIKET (MARK UP)","UP 50,000 PER TIKET (MARK UP)",-,MARKUP,"UP 30,000 (MARKUP)",MARKUP,MARKUP,-,,,,
